responsavel_nome;uo;uo_descricao;uo_sigla;numero_indicacao;tipo_de_indicacao;status_da_indicacao;numero_inciso;numero_do_controle_de_execucao;no_empenho_execucao_direta;processo_de_compra;registro_de_preco;descricao_processo_de_compras;no_processo_de_compra_planejamento_de_registro_de_precos;status_do_processo_de_compra_registro_de_precos;valor_indicacao;valor_utilizado_controle;valor_empenhado;valor_liquidado;valor_pago;valor_executado;justificativa;classificacao_iot
Bloco Minas São Muitas;1261;SECRETARIA DE ESTADO DE EDUCAÇÃO;SEE;113767;EXECUÇÃO DIRETA - CAIXA ESCOLAR;ENVIADA PARA SEE;1006;8805;;Não;;;;;100000,0;100000,0;100000,0;100000,0;100000,0;;;
Bloco Minas São Muitas;1261;SECRETARIA DE ESTADO DE EDUCAÇÃO;SEE;113768;EXECUÇÃO DIRETA - CAIXA ESCOLAR;ENVIADA PARA SEE;1006;8831;;Não;;;;;100000,0;100000,0;100000,0;100000,0;100000,0;;;
Bloco Minas São Muitas;4291;FUNDO ESTADUAL DE SAÚDE;SES;113769;RESOLUÇÃO SES;APROVADO;993;6273;;Não;;;;;180000,0;180000,0;180000,0;180000,0;180000,0;;;
Bloco Minas São Muitas;4291;FUNDO ESTADUAL DE SAÚDE;SES;113770;RESOLUÇÃO SES;APROVADO;993;5855;;Não;;;;;180000,0;180000,0;180000,0;180000,0;180000,0;;;
Bloco Minas São Muitas;4291;FUNDO ESTADUAL DE SAÚDE;SES;113771;RESOLUÇÃO SES;APROVADO;993;6236;;Não;;;;;180000,0;180000,0;180000,0;180000,0;180000,0;;;
Bloco Minas São Muitas;4291;FUNDO ESTADUAL DE SAÚDE;SES;113772;RESOLUÇÃO SES;APROVADO;993;6119;;Não;;;;;180000,0;180000,0;180000,0;180000,0;180000,0;;;
Bloco Minas São Muitas;4291;FUNDO ESTADUAL DE SAÚDE;SES;113773;RESOLUÇÃO SES;APROVADO;993;6138;;Não;;;;;91734,0;91734,0;91734,0;91734,0;91734,0;;;
Bloco Minas São Muitas;4291;FUNDO ESTADUAL DE SAÚDE;SES;113774;RESOLUÇÃO SES;APROVADO;993;6697;;Não;;;;;180000,0;180000,0;180000,0;180000,0;180000,0;;;
Bloco Minas São Muitas;4291;FUNDO ESTADUAL DE SAÚDE;SES;113775;RESOLUÇÃO SES;APROVADO;995;6612;;Não;;;;;82089,0;82089,0;82089,0;82089,0;82089,0;;;
Bloco Minas São Muitas;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;113776;TRANSFERÊNCIA ESPECIAL;APROVADO;569;15151;;Não;;;;;200000,0;200000,0;200000,0;200000,0;200000,0;;;
Bloco Minas São Muitas;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;113777;TRANSFERÊNCIA ESPECIAL;APROVADO;569;15152;;Não;;;;;200000,0;200000,0;200000,0;200000,0;200000,0;;;
Bloco Minas São Muitas;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;113778;TRANSFERÊNCIA ESPECIAL;APROVADO;569;15153;;Não;;;;;200000,0;200000,0;200000,0;200000,0;200000,0;;;
Bloco Minas São Muitas;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;113779;TRANSFERÊNCIA ESPECIAL;APROVADO;569;15154;;Não;;;;;250000,0;250000,0;250000,0;250000,0;250000,0;;;
Bloco Minas São Muitas;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;113780;TRANSFERÊNCIA ESPECIAL;APROVADO;569;15155;;Não;;;;;250000,0;250000,0;250000,0;250000,0;250000,0;;;
Bloco Minas São Muitas;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;113781;TRANSFERÊNCIA ESPECIAL;APROVADO;569;15156;;Não;;;;;200000,0;200000,0;200000,0;200000,0;200000,0;;;
Bloco Minas São Muitas;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;113782;TRANSFERÊNCIA ESPECIAL;APROVADO;569;15157;;Não;;;;;200000,0;200000,0;200000,0;200000,0;200000,0;;;
Bloco Minas São Muitas;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;113783;TRANSFERÊNCIA ESPECIAL;APROVADO;569;15158;;Não;;;;;91733,0;91733,0;91733,0;91733,0;91733,0;;;
Bloco Minas São Muitas;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;113784;TRANSFERÊNCIA ESPECIAL;APROVADO;569;15159;;Não;;;;;200000,0;200000,0;200000,0;200000,0;200000,0;;;
Bloco Minas São Muitas;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;113785;TRANSFERÊNCIA ESPECIAL;APROVADO;614;15160;;Não;;;;;82089,0;82089,0;82089,0;82089,0;82089,0;;;
Bloco Minas São Muitas;1261;SECRETARIA DE ESTADO DE EDUCAÇÃO;SEE;113786;EXECUÇÃO DIRETA - CAIXA ESCOLAR;ENVIADA PARA SEE;560;8533;;Não;;;;;80000,0;80000,0;80000,0;80000,0;80000,0;;;
Bloco Minas São Muitas;1261;SECRETARIA DE ESTADO DE EDUCAÇÃO;SEE;113787;EXECUÇÃO DIRETA - CAIXA ESCOLAR;ENVIADA PARA SEE;560;8841;;Não;;;;;300000,0;300000,0;300000,0;300000,0;300000,0;;;
Bloco Minas São Muitas;1261;SECRETARIA DE ESTADO DE EDUCAÇÃO;SEE;113788;EXECUÇÃO DIRETA - CAIXA ESCOLAR;ENVIADA PARA SEE;560;8383;;Não;;;;;100000,0;100000,0;100000,0;100000,0;100000,0;;;
Bloco Minas São Muitas;1261;SECRETARIA DE ESTADO DE EDUCAÇÃO;SEE;113789;EXECUÇÃO DIRETA - CAIXA ESCOLAR;ENVIADA PARA SEE;560;8680;;Não;;;;;80000,0;80000,0;80000,0;80000,0;80000,0;;;
Bloco Minas São Muitas;1261;SECRETARIA DE ESTADO DE EDUCAÇÃO;SEE;113790;EXECUÇÃO DIRETA - CAIXA ESCOLAR;ENVIADA PARA SEE;560;8391;;Não;;;;;80000,0;80000,0;80000,0;80000,0;80000,0;;;
Bloco Minas São Muitas;1261;SECRETARIA DE ESTADO DE EDUCAÇÃO;SEE;113791;EXECUÇÃO DIRETA - CAIXA ESCOLAR;ENVIADA PARA SEE;560;8641;;Não;;;;;80000,0;80000,0;80000,0;80000,0;80000,0;;;
Bloco Minas São Muitas;1261;SECRETARIA DE ESTADO DE EDUCAÇÃO;SEE;113792;EXECUÇÃO DIRETA - CAIXA ESCOLAR;ENVIADA PARA SEE;560;8800;;Não;;;;;80000,0;80000,0;80000,0;80000,0;80000,0;;;
SAVIO DE SOUZA CRUZ;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;113796;TRANSFERÊNCIA ESPECIAL;APROVADO;970;15161;;Não;;;;;340000,0;340000,0;340000,0;340000,0;340000,0;;;
HELY TARQUINIO;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;113797;TRANSFERÊNCIA ESPECIAL;APROVADO;322;15162;;Não;;;;;1350000,0;1350000,0;1350000,0;1350000,0;1350000,0;;;
Bloco Minas São Muitas;4291;FUNDO ESTADUAL DE SAÚDE;SES;113798;RESOLUÇÃO SES;APROVADO;1011;7789;;Não;;;;;220000,0;220000,0;220000,0;220000,0;220000,0;;;
Bloco Minas São Muitas;4291;FUNDO ESTADUAL DE SAÚDE;SES;113799;RESOLUÇÃO SES;APROVADO;1010;7269;;Não;;;;;100000,0;100000,0;100000,0;100000,0;100000,0;;;
Bloco Minas São Muitas;4291;FUNDO ESTADUAL DE SAÚDE;SES;113800;RESOLUÇÃO SES;APROVADO;1010;7270;;Não;;;;;180000,0;180000,0;180000,0;180000,0;180000,0;;;
Bloco Minas São Muitas;4291;FUNDO ESTADUAL DE SAÚDE;SES;113801;RESOLUÇÃO SES;APROVADO;1009;7268;;Não;;;;;82089,0;82089,0;82089,0;82089,0;82089,0;;;
PROFESSOR IRINEU;1231;SECRETARIA DE ESTADO DE AGRICULTURA, PECUÁRIA E ABASTECIMENTO - SEAPA;SEAPA;113802;CELEBRAÇÃO DE CONVÊNIO;APROVADO;4;7888;;Não;;;;;500000,0;500000,0;500000,0;500000,0;500000,0;;;
HELY TARQUINIO;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;113803;CELEBRAÇÃO DE CONVÊNIO;APROVADO;261;7922;;Não;;;;;300000,0;300000,0;300000,0;300000,0;300000,0;;;
HELY TARQUINIO;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;113805;CELEBRAÇÃO DE CONVÊNIO;APROVADO;1003;7921;;Não;;;;;41622,7;41622,7;41622,7;41622,7;41622,7;;;
Bloco Minas São Muitas;4291;FUNDO ESTADUAL DE SAÚDE;SES;113806;RESOLUÇÃO SES;APROVADO;1012;6540;;Não;;;;;473823,0;473823,0;473823,0;473823,0;473823,0;;;
HELY TARQUINIO;1401;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;CBMMG;113807;EXECUÇÃO DIRETA;APROVADO;133;10863;122,0;Sim;Não;Pregão para aquisição de 48 (quarenta e oito)  viaturas, classe unidade de resgate, para compor a frota de viaturas  do CBMMG. SEI 1400.01.0005927/2022-05;1,4012690000042022e+16;CONCLUÍDO;450000,0;334450,0;334450,0;334450,0;0,0;;Economia processual;indicação com mais de um controle de execução cadastrado
HELY TARQUINIO;1401;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;CBMMG;113807;EXECUÇÃO DIRETA;APROVADO;133;10835;14,0;Sim;Sim;Suprir demanda de equipamentos operacionais;1,4011040000282024e+16;CONCLUÍDO;450000,0;115550,0;115439,38;72049,38;2438,64;;Economia processual;"ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;"
HELY TARQUINIO;4291;FUNDO ESTADUAL DE SAÚDE;SES;113808;RESOLUÇÃO SES;APROVADO;998;6699;;Não;;;;;270000,0;270000,0;270000,0;270000,0;270000,0;;;
HELY TARQUINIO;4291;FUNDO ESTADUAL DE SAÚDE;SES;113809;RESOLUÇÃO SES;APROVADO;505;7733;;Não;;;;;650000,0;650000,0;650000,0;650000,0;650000,0;;;
HELY TARQUINIO;4291;FUNDO ESTADUAL DE SAÚDE;SES;113810;RESOLUÇÃO SES;APROVADO;677;6724;;Não;;;;;260022,0;260022,0;260022,0;260022,0;260022,0;;;
HELY TARQUINIO;4291;FUNDO ESTADUAL DE SAÚDE;SES;113817;RESOLUÇÃO SES;APROVADO;502;7784;;Não;;;;;650000,0;650000,0;650000,0;650000,0;650000,0;;;
CHARLES SANTOS;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;SEDESE;113819;CELEBRAÇÃO DE CONVÊNIO;APROVADO;187;12344;;Não;;;;;48620,0;48620,0;48620,0;48620,0;48620,0;;;
HELY TARQUINIO;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;113821;TRANSFERÊNCIA ESPECIAL;APROVADO;676;15163;;Não;;;;;260022,0;260022,0;260022,0;260022,0;260022,0;;;
CHARLES SANTOS;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;SEDESE;113822;CELEBRAÇÃO DE CONVÊNIO;APROVADO;214;12956;;Não;;;;;100000,0;100000,0;100000,0;100000,0;100000,0;;;
HELY TARQUINIO;4291;FUNDO ESTADUAL DE SAÚDE;SES;113823;RESOLUÇÃO SES;APROVADO;459;6432;;Não;;;;;800000,0;800000,0;800000,0;800000,0;800000,0;;;
HELY TARQUINIO;4291;FUNDO ESTADUAL DE SAÚDE;SES;113824;RESOLUÇÃO SES;APROVADO;459;6726;;Não;;;;;250000,0;250000,0;250000,0;250000,0;250000,0;;;
HELY TARQUINIO;4291;FUNDO ESTADUAL DE SAÚDE;SES;113825;RESOLUÇÃO SES;APROVADO;459;6725;;Não;;;;;250000,0;250000,0;250000,0;250000,0;250000,0;;;
HELY TARQUINIO;4291;FUNDO ESTADUAL DE SAÚDE;SES;113826;RESOLUÇÃO SES;APROVADO;459;5935;;Não;;;;;220000,0;220000,0;220000,0;220000,0;220000,0;;;
HELY TARQUINIO;4291;FUNDO ESTADUAL DE SAÚDE;SES;113827;RESOLUÇÃO SES;APROVADO;459;5957;;Não;;;;;600000,0;600000,0;600000,0;600000,0;600000,0;;;
HELY TARQUINIO;4291;FUNDO ESTADUAL DE SAÚDE;SES;113828;RESOLUÇÃO SES;APROVADO;459;6026;;Não;;;;;205862,0;205862,0;205862,0;205862,0;205862,0;;;
HELY TARQUINIO;4291;FUNDO ESTADUAL DE SAÚDE;SES;113829;RESOLUÇÃO SES;APROVADO;459;6698;;Não;;;;;200000,0;200000,0;200000,0;200000,0;200000,0;;;
HELY TARQUINIO;4291;FUNDO ESTADUAL DE SAÚDE;SES;113830;RESOLUÇÃO SES;APROVADO;459;6509;;Não;;;;;158000,0;158000,0;158000,0;158000,0;158000,0;;;
HELY TARQUINIO;4291;FUNDO ESTADUAL DE SAÚDE;SES;113831;RESOLUÇÃO SES;APROVADO;999;6511;;Não;;;;;100000,0;100000,0;100000,0;100000,0;100000,0;;;
HELY TARQUINIO;4291;FUNDO ESTADUAL DE SAÚDE;SES;113832;RESOLUÇÃO SES;APROVADO;1000;6730;;Não;;;;;200000,0;200000,0;200000,0;200000,0;200000,0;;;
HELY TARQUINIO;4291;FUNDO ESTADUAL DE SAÚDE;SES;113833;RESOLUÇÃO SES;APROVADO;459;6510;;Não;;;;;377,3;377,3;377,3;377,3;377,3;;;
HELY TARQUINIO;4291;FUNDO ESTADUAL DE SAÚDE;SES;113834;RESOLUÇÃO SES;APROVADO;540;7116;;Não;;;;;500000,0;500000,0;500000,0;500000,0;500000,0;;;
PROFESSOR CLEITON;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;SEDESE;113835;CELEBRAÇÃO DE CONVÊNIO;APROVADO;161;14677;;Não;;;;;132310,0;132310,0;132310,0;132310,0;132310,0;;;
ROSANGELA REIS;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;113836;TRANSFERÊNCIA ESPECIAL;APROVADO;722;15164;;Não;;;;;260022,0;260022,0;260022,0;260022,0;260022,0;;;
ROSANGELA REIS;4291;FUNDO ESTADUAL DE SAÚDE;SES;113837;RESOLUÇÃO SES;APROVADO;456;6680;;Não;;;;;180000,0;180000,0;180000,0;180000,0;180000,0;;;
ANDREIA DE JESUS;4291;FUNDO ESTADUAL DE SAÚDE;SES;113839;RESOLUÇÃO SES;APROVADO;431;6481;;Não;;;;;160000,0;160000,0;160000,0;160000,0;160000,0;;;
ANDREIA DE JESUS;4291;FUNDO ESTADUAL DE SAÚDE;SES;113840;RESOLUÇÃO SES;APROVADO;431;5920;;Não;;;;;160000,0;160000,0;160000,0;160000,0;160000,0;;;
ANDREIA DE JESUS;4291;FUNDO ESTADUAL DE SAÚDE;SES;113841;RESOLUÇÃO SES;APROVADO;431;6482;;Não;;;;;160000,0;160000,0;160000,0;160000,0;160000,0;;;
ANDREIA DE JESUS;4291;FUNDO ESTADUAL DE SAÚDE;SES;113842;RESOLUÇÃO SES;APROVADO;431;6483;;Não;;;;;160000,0;160000,0;160000,0;160000,0;160000,0;;;
ANDREIA DE JESUS;4291;FUNDO ESTADUAL DE SAÚDE;SES;113843;RESOLUÇÃO SES;APROVADO;431;5947;;Não;;;;;160000,0;160000,0;160000,0;160000,0;160000,0;;;
ANDREIA DE JESUS;4291;FUNDO ESTADUAL DE SAÚDE;SES;113844;RESOLUÇÃO SES;APROVADO;431;5948;;Não;;;;;160000,0;160000,0;160000,0;160000,0;160000,0;;;
ANDREIA DE JESUS;4291;FUNDO ESTADUAL DE SAÚDE;SES;113846;RESOLUÇÃO SES;APROVADO;431;6755;;Não;;;;;160000,0;160000,0;160000,0;160000,0;160000,0;;;
ANDREIA DE JESUS;4291;FUNDO ESTADUAL DE SAÚDE;SES;113847;RESOLUÇÃO SES;APROVADO;431;6496;;Não;;;;;160000,0;160000,0;160000,0;160000,0;160000,0;;;
ANDREIA DE JESUS;4291;FUNDO ESTADUAL DE SAÚDE;SES;113848;RESOLUÇÃO SES;APROVADO;431;5984;;Não;;;;;160000,0;160000,0;160000,0;160000,0;160000,0;;;
ANDREIA DE JESUS;4291;FUNDO ESTADUAL DE SAÚDE;SES;113849;RESOLUÇÃO SES;APROVADO;431;6393;;Não;;;;;160000,0;160000,0;160000,0;160000,0;160000,0;;;
ANDREIA DE JESUS;4291;FUNDO ESTADUAL DE SAÚDE;SES;113850;RESOLUÇÃO SES;APROVADO;431;5858;;Não;;;;;160000,0;160000,0;160000,0;160000,0;160000,0;;;
ANDREIA DE JESUS;4291;FUNDO ESTADUAL DE SAÚDE;SES;113851;RESOLUÇÃO SES;APROVADO;431;6530;;Não;;;;;160000,0;160000,0;160000,0;160000,0;160000,0;;;
ANDREIA DE JESUS;4291;FUNDO ESTADUAL DE SAÚDE;SES;113852;RESOLUÇÃO SES;APROVADO;431;5892;;Não;;;;;160000,0;160000,0;160000,0;160000,0;160000,0;;;
ANDREIA DE JESUS;4291;FUNDO ESTADUAL DE SAÚDE;SES;113853;RESOLUÇÃO SES;APROVADO;431;6031;;Não;;;;;160000,0;160000,0;160000,0;160000,0;160000,0;;;
ANDREIA DE JESUS;4291;FUNDO ESTADUAL DE SAÚDE;SES;113854;RESOLUÇÃO SES;APROVADO;431;6635;;Não;;;;;160000,0;160000,0;160000,0;160000,0;160000,0;;;
ANDREIA DE JESUS;4291;FUNDO ESTADUAL DE SAÚDE;SES;113855;RESOLUÇÃO SES;APROVADO;893;6687;;Não;;;;;180000,0;180000,0;180000,0;180000,0;180000,0;;;
ANDREIA DE JESUS;4291;FUNDO ESTADUAL DE SAÚDE;SES;113856;RESOLUÇÃO SES;APROVADO;893;6661;;Não;;;;;160000,0;160000,0;160000,0;160000,0;160000,0;;;
ANDREIA DE JESUS;4291;FUNDO ESTADUAL DE SAÚDE;SES;113857;RESOLUÇÃO SES;APROVADO;893;6078;;Não;;;;;160000,0;160000,0;160000,0;160000,0;160000,0;;;
ANDREIA DE JESUS;4291;FUNDO ESTADUAL DE SAÚDE;SES;113858;RESOLUÇÃO SES;APROVADO;893;6061;;Não;;;;;160000,0;160000,0;160000,0;160000,0;160000,0;;;
ANDREIA DE JESUS;4291;FUNDO ESTADUAL DE SAÚDE;SES;113861;RESOLUÇÃO SES;APROVADO;1017;5971;;Não;;;;;258187,0;258187,0;258187,0;258187,0;258187,0;;;
ANDREIA DE JESUS;4291;FUNDO ESTADUAL DE SAÚDE;SES;113862;RESOLUÇÃO SES;APROVADO;1017;6100;;Não;;;;;160000,0;160000,0;160000,0;160000,0;160000,0;;;
ANDREIA DE JESUS;4291;FUNDO ESTADUAL DE SAÚDE;SES;113863;RESOLUÇÃO SES;APROVADO;893;6575;;Não;;;;;90000,0;90000,0;90000,0;90000,0;90000,0;;;
ANDREIA DE JESUS;4291;FUNDO ESTADUAL DE SAÚDE;SES;113864;RESOLUÇÃO SES;APROVADO;1017;6573;;Não;;;;;17285,28;17285,28;17285,28;17285,28;17285,28;;;
ANDREIA DE JESUS;4291;FUNDO ESTADUAL DE SAÚDE;SES;113865;RESOLUÇÃO SES;APROVADO;431;6574;;Não;;;;;52715,0;52715,0;52715,0;52715,0;52715,0;;;
DUARTE BECHIR;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;SEDESE;113871;CELEBRAÇÃO DE CONVÊNIO;APROVADO;151;12384;;Não;;;;;90000,0;90000,0;90000,0;90000,0;90000,0;;;
Partido Liberal;4291;FUNDO ESTADUAL DE SAÚDE;SES;113873;RESOLUÇÃO SES;APROVADO;1015;7073;;Não;;;;;304800,0;304800,0;304800,0;304800,0;304800,0;;;
Partido Liberal;4291;FUNDO ESTADUAL DE SAÚDE;SES;113874;RESOLUÇÃO SES;APROVADO;936;5760;;Não;;;;;160000,0;160000,0;160000,0;160000,0;160000,0;;;
CARLOS HENRIQUE;1451;SECRETARIA DE ESTADO DE JUSTIÇA E SEGURANÇA PÚBLICA;SEJUSP;113875;EXECUÇÃO DIRETA;APROVADO;877;7886;445,0;Sim;Sim;"""Esta aquisição será através de adesão à Ata de RP nº 14/2023, na condição de carona, a qual possui registrado o veículo caminhonete cela humanizada Fornecedor da Ata já enviou o aceite a adesão. Aguardando aceite do gestor da Ata."" ";14,0;EM ANDAMENTO;392500,0;392500,0;280000,0;;;;Foi localizado a Ata de Registro de Preços de RP nº 14/2023, cujo veículo caminhonete cela humanizada atendia, com valor registrado menor do que o valor do recurso indicado na emenda. Fornecedor da Ata e gestor aceitaram a adesão. Desta forma, foi firmado o contrato.;"ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;"
Partido Liberal;4291;FUNDO ESTADUAL DE SAÚDE;SES;113876;RESOLUÇÃO SES;APROVADO;1016;7196;;Não;;;;;160000,0;160000,0;160000,0;160000,0;160000,0;;;
DELEGADO HELI GRILO;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;113877;TRANSFERÊNCIA ESPECIAL;APROVADO;645;15165;;Não;;;;;70000,0;70000,0;70000,0;70000,0;70000,0;;;
DELEGADO HELI GRILO;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;113878;TRANSFERÊNCIA ESPECIAL;APROVADO;645;15166;;Não;;;;;40022,0;40022,0;40022,0;40022,0;40022,0;;;
DUARTE BECHIR;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;SEDESE;113879;CELEBRAÇÃO DE CONVÊNIO;APROVADO;151;14534;;Não;;;;;200000,0;199995,5;199995,5;199995,5;199995,5;;;
DELEGADO HELI GRILO;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;113880;TRANSFERÊNCIA ESPECIAL;APROVADO;985;15167;;Não;;;;;59978,0;59978,0;59978,0;59978,0;59978,0;;;
DELEGADO HELI GRILO;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;113881;TRANSFERÊNCIA ESPECIAL;APROVADO;985;15168;;Não;;;;;1280953,0;1280953,0;1280953,0;1280953,0;1280953,0;;;
DELEGADO HELI GRILO;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;113882;TRANSFERÊNCIA ESPECIAL;APROVADO;1020;15169;;Não;;;;;160000,0;160000,0;160000,0;160000,0;160000,0;;;
DUARTE BECHIR;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;SEDESE;113884;CELEBRAÇÃO DE CONVÊNIO;APROVADO;151;14526;;Não;;;;;90000,0;90000,0;90000,0;90000,0;90000,0;;;
ANDREIA DE JESUS;1271;SECRETARIA DE ESTADO DE CULTURA E TURISMO;SECULT;113885;CELEBRAÇÃO DE CONVÊNIO;APROVADO;79;14507;;Não;;;;;455877,0;455877,0;455877,0;455877,0;455877,0;;;
CORONEL SANDRO;1251;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;PMMG;113886;EXECUÇÃO DIRETA;APROVADO;37;7994;1668,0;Sim;Não;SISTEMA CHAMADA DE LEITO/ENFERMAGEM  SEI: 1250.01.0005922/2023-97;1,2553020003532024e+16;CONCLUÍDO;171900,0;171900,0;171900,0;0,0;0,0;;Aguarda entrega dos objetos para liquidação.;outras razões de ordem técnica devidamente justificadas.
ANDREIA DE JESUS;1271;SECRETARIA DE ESTADO DE CULTURA E TURISMO;SECULT;113887;CELEBRAÇÃO DE CONVÊNIO;APROVADO;79;14508;;Não;;;;;2446,0;2446,0;2446,0;2446,0;2446,0;;;
CORONEL SANDRO;1251;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;PMMG;113889;EXECUÇÃO DIRETA;APROVADO;37;7995;1609,0;Sim;Não;"Aquisição de materiais permanentes para atendimento às demandas do CODONT e UAPS  SEI;1250.01.0017721/2023-72";1,2553020003422024e+16;CONCLUÍDO;39000,0;39000,0;38880,0;0,0;0,0;;Saldo decorre de economicidade. Aguarda entregas para liquidação.;"ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;"
ANDREIA DE JESUS;1271;SECRETARIA DE ESTADO DE CULTURA E TURISMO;SECULT;113891;CELEBRAÇÃO DE CONVÊNIO;APROVADO;79;14564;;Não;;;;;123300,0;123300,0;123300,0;123300,0;123300,0;;;
ANDREIA DE JESUS;1271;SECRETARIA DE ESTADO DE CULTURA E TURISMO;SECULT;113892;CELEBRAÇÃO DE CONVÊNIO;APROVADO;79;14565;;Não;;;;;119025,0;119025,0;119025,0;119025,0;119025,0;;;
DELEGADO HELI GRILO;1511;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;PCMG;113895;EXECUÇÃO DIRETA;APROVADO;339;8170;213,0;Sim;Sim;Aquisição de viaturas policiais descaracterizadas e caracterizadas;119,0;EM ANDAMENTO;180000,0;152000,0;152000,0;0,0;0,0;;Economia gerada no certame licitatório - registro de preços;"ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;"
DELEGADO HELI GRILO;1511;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;PCMG;113896;EXECUÇÃO DIRETA;APROVADO;339;8170;213,0;Sim;Sim;Aquisição de viaturas policiais descaracterizadas e caracterizadas;119,0;EM ANDAMENTO;180000,0;152000,0;152000,0;0,0;0,0;;Economia gerada no certame licitatório - registro de preços;"ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;"
Partido Liberal;4291;FUNDO ESTADUAL DE SAÚDE;SES;113897;RESOLUÇÃO SES;APROVADO;936;6795;;Não;;;;;167906,0;167906,0;167906,0;167906,0;167906,0;;;
CORONEL SANDRO;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;113899;TRANSFERÊNCIA ESPECIAL;APROVADO;285;15170;;Não;;;;;200000,0;200000,0;200000,0;200000,0;200000,0;;;
CHARLES SANTOS;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;SEDESE;113900;CELEBRAÇÃO DE CONVÊNIO;APROVADO;1023;12345;;Não;;;;;51423,0;51423,0;51423,0;51423,0;51423,0;;;
CHARLES SANTOS;4291;FUNDO ESTADUAL DE SAÚDE;SES;113907;RESOLUÇÃO SES;APROVADO;526;7279;;Não;;;;;200000,0;200000,0;200000,0;200000,0;200000,0;;;
PROFESSOR CLEITON;4291;FUNDO ESTADUAL DE SAÚDE;SES;113908;RESOLUÇÃO SES;APROVADO;711;6156;;Não;;;;;260044,0;260044,0;260044,0;260044,0;260044,0;;;
PROFESSOR CLEITON;4291;FUNDO ESTADUAL DE SAÚDE;SES;113909;RESOLUÇÃO SES;APROVADO;407;6542;;Não;;;;;200000,0;200000,0;200000,0;200000,0;200000,0;;;
PROFESSOR CLEITON;4291;FUNDO ESTADUAL DE SAÚDE;SES;113910;RESOLUÇÃO SES;APROVADO;1033;7771;;Não;;;;;625431,0;625431,0;625431,0;625431,0;625431,0;;;
PROFESSOR CLEITON;4291;FUNDO ESTADUAL DE SAÚDE;SES;113911;RESOLUÇÃO SES;APROVADO;1034;7783;;Não;;;;;500000,0;500000,0;500000,0;500000,0;500000,0;;;
PROFESSOR CLEITON;4291;FUNDO ESTADUAL DE SAÚDE;SES;113912;RESOLUÇÃO SES;APROVADO;1035;7552;;Não;;;;;300000,0;300000,0;300000,0;300000,0;300000,0;;;
PROFESSOR CLEITON;4291;FUNDO ESTADUAL DE SAÚDE;SES;113913;RESOLUÇÃO SES;APROVADO;1046;7363;;Não;;;;;160000,0;160000,0;160000,0;160000,0;160000,0;;;
